Sweep,Architecture,Engine,Model,Threads,Context tokens,Concurrent requests,KV cache K/V,Max generated tokens,TTFT mean (seconds),TPOT mean (milliseconds/token),Throughput mean (output tokens/second),Goodput fraction (TTFT<=2s and TPOT<=200ms),Peak memory VmHWM (GiB),Successful measured requests
blas_server,arm,vanilla-blis,model-1-mandatory,36,,,f16/f16,,0.409,95.3,8.410,1.000,5.54,9
blas_server,arm,vanilla-blis,model-1-mandatory,46,,,f16/f16,,0.335,84.0,9.583,1.000,5.56,9
blas_server,arm,vanilla-blis,model-1-mandatory,48,,,f16/f16,,0.463,172.4,4.909,0.667,5.56,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,12,,,f16/f16,,1.026,247.4,3.234,0.000,5.47,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,24,,,f16/f16,,0.555,130.4,6.135,1.000,5.47,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,36,,,f16/f16,,0.406,95.5,8.391,1.000,5.48,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,46,,,f16/f16,,0.337,83.5,9.645,1.000,5.49,9
blas_server,arm,vanilla-openblas-fujitsu,model-1-mandatory,48,,,f16/f16,,0.412,187.7,5.125,0.889,5.49,9
x86_server,x86,tq,model-1-mandatory,128,,,turbo3/turbo3,,1.716,347.0,2.727,0.000,8.01,9
x86_server,x86,tq,model-1-mandatory,128,,,turbo4/turbo4,,2.130,387.6,2.737,0.000,8.04,9
x86_server,x86,tq,model-1-mandatory,16,,,turbo3/turbo3,,0.152,92.5,9.709,1.000,7.98,9
x86_server,x86,tq,model-1-mandatory,16,,,turbo4/turbo4,,0.152,92.5,9.713,1.000,8.03,9
x86_server,x86,tq,model-1-mandatory,24,,,turbo3/turbo3,,0.166,127.5,7.284,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,24,,,turbo4/turbo4,,0.177,138.8,6.718,1.000,8.03,9
x86_server,x86,tq,model-1-mandatory,32,,,turbo3/turbo3,,0.186,150.4,6.214,1.000,7.98,9
x86_server,x86,tq,model-1-mandatory,32,,,turbo4/turbo4,,0.153,130.9,7.168,1.000,8.04,9
x86_server,x86,tq,model-1-mandatory,48,,,turbo3/turbo3,,0.141,117.7,8.002,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,48,,,turbo4/turbo4,,0.161,134.8,6.975,1.000,8.03,9
x86_server,x86,tq,model-1-mandatory,64,,,turbo3/turbo3,,0.138,118.7,7.962,1.000,7.99,9
x86_server,x86,tq,model-1-mandatory,64,,,turbo4/turbo4,,0.131,112.7,8.391,1.000,8.03,9
x86_server,x86,tq,model-1-mandatory,8,,,turbo3/turbo3,,0.224,108.1,8.000,1.000,7.98,9
x86_server,x86,tq,model-1-mandatory,8,,,turbo4/turbo4,,0.224,108.5,7.997,1.000,8.02,9
x86_server,x86,tq,model-1-mandatory,96,,,turbo3/turbo3,,0.159,136.5,6.916,1.000,8.00,9
x86_server,x86,tq,model-1-mandatory,96,,,turbo4/turbo4,,0.160,139.3,6.788,1.000,8.03,9
x86_server,x86,vanilla,model-1-mandatory,128,,,f16/f16,,3.193,613.0,1.312,0.000,8.40,9
x86_server,x86,vanilla,model-1-mandatory,16,,,f16/f16,,0.171,93.1,9.642,1.000,8.42,9
x86_server,x86,vanilla,model-1-mandatory,24,,,f16/f16,,0.164,102.3,8.961,1.000,8.41,9
x86_server,x86,vanilla,model-1-mandatory,32,,,f16/f16,,0.168,111.8,8.260,1.000,8.42,9
x86_server,x86,vanilla,model-1-mandatory,48,,,f16/f16,,0.205,155.5,6.012,1.000,8.43,9
x86_server,x86,vanilla,model-1-mandatory,64,,,f16/f16,,0.177,131.7,7.086,1.000,8.41,9
x86_server,x86,vanilla,model-1-mandatory,8,,,f16/f16,,0.232,102.6,8.487,1.000,8.41,9
x86_server,x86,vanilla,model-1-mandatory,96,,,f16/f16,,0.159,115.9,8.030,1.000,8.41,9
